food_id,food_name_vi,status,unit_type,serving_size,serving_weight_g,calories_per_serving_selected,calories_per_100g,calories_min_final,calories_max_final,confidence,source_used,note,source_cell,dataset_version,created_at
pho_bo,Phở bò,ok,per_serving,1 tô / 1 phần,missing,410,missing,350,500,medium,nhathuoclongchau.com.vn,"Giá trị tương đối. Số liệu thay đổi theo lượng bánh phở, loại thịt bò, nước béo, topping và quy cách tô. Macro chưa đủ tin cậy nên để missing.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
banh_mi_thit,Bánh mì thịt,ok,per_serving,1 ổ,missing,410,missing,300,500,medium,medlatec.vn | nhathuoclongchau.com.vn,Đã lọc số calo thành phần và chỉ giữ candidate phù hợp khẩu phần đầy đủ.,CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
com_tam_suon_bi_cha,Cơm tấm sườn bì chả,ok,per_serving,1 phần / 1 đĩa,missing,615,missing,500,800,medium-high,btaskee.com | dienmayxanh.com | fiti.vn | nhathuoclongchau.com.vn | toshiko.vn,Đã lọc số calo thành phần và chỉ giữ candidate phù hợp khẩu phần đầy đủ.,CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
bun_bo_hue,Bún bò Huế,ok,per_serving,1 tô,missing,535,missing,534,535,low-medium,nhathuoclongchau.com.vn,Đã lọc số calo thành phần và chỉ giữ candidate phù hợp khẩu phần đầy đủ. Đã chỉnh calories_max từ 534 lên 535 để khớp calories_selected đã làm tròn.,CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
bun_thit_nuong,Bún thịt nướng,ok,per_serving,1 tô / 1 phần,missing,525,missing,450,600,low-medium,vuaganuong.vn,"Giữ số cho 1 tô/phần cơ bản, đã loại số của đậu phộng, dầu, chả giò và topping thêm.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
goi_cuon,Gỏi cuốn,ok,per_serving,1 cuốn,missing,50,missing,49,120,medium,btaskee.com | fptshop.com.vn | mytour.vn | patecotden.net | thammylinhanh.vn | yourfit.vn,"Đã chuẩn hóa về 1 cuốn. Các dòng kiểu 208 kcal / 4 cuốn được chia lại, các số như 667 kcal/bữa ăn bị loại.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
banh_xeo,Bánh xèo,ok,per_serving,1 cái / 1 phần,missing,350,missing,250,600,medium-high,btaskee.com | gcaeco.vn | nhathuocankhang.com | tiemchunglongchau.com.vn | yourfit.vn,"Giữ kết quả Cell 7; các nguồn hội tụ quanh 300-400 kcal/cái, biến thể nhiều dầu hoặc lớn có thể cao hơn.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
banh_cuon,Bánh cuốn,ok,per_serving,1 đĩa / 1 phần,missing,595,missing,300,600,medium,dienmayxanh.com | nhathuoclongchau.com.vn | nongsanlangbiang.com,Ưu tiên biến thể phổ biến ăn kèm giò/chả; bánh cuốn nhân thịt đơn giản có thể thấp hơn.,CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
chao_long,Cháo lòng,ok,per_serving,1 tô,missing,350,missing,250,400,medium,btaskee.com | medlatec.vn,"Đã loại số 667 kcal/bữa ăn, số cho 2 bát/ngày và biến thể ăn kèm quẩy. Dùng khẩu phần 1 tô cháo lòng cơ bản/full topping.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
mi_quang,Mì Quảng,ok,per_serving,1 tô,missing,415,missing,400,600,low-medium,btaskee.com,"Đã loại số của tô lớn, số so sánh món khác và mức 667 kcal/bữa ăn. Dùng khẩu phần 1 tô cỡ vừa/phổ biến.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
hu_tieu,Hủ tiếu,ok,per_serving,1 tô,missing,410,missing,350,650,low-medium,nhathuoclongchau.com.vn,"Đã loại hủ tiếu gói, hủ tiếu chay, hủ tiếu xào và số 100g sợi. Dùng khẩu phần 1 tô nước/phổ biến.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
bun_rieu_cua,Bún riêu cua,ok,per_serving,1 tô,missing,465,missing,450,600,medium-high,btaskee.com | nhathuocankhang.com | nhathuoclongchau.com.vn,Đã loại số của các món bún khác và range quá rộng 300-500. Dùng khẩu phần 1 tô bún riêu cua/thông thường.,CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
banh_canh,Bánh canh,ok,per_serving,1 tô,missing,340,missing,300,590,medium-high,btaskee.com | nhathuocankhang.com | nhathuoclongchau.com.vn | phuongnamhospital.com,"Đã loại số 667 kcal/bữa ăn, 100g/sợi/bột và các biến thể quá đặc biệt. Dùng khẩu phần 1 tô bánh canh phổ biến.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
xoi_xeo,Xôi xéo,ok,per_serving,1 gói / 1 phần,missing,630,missing,500,664,medium-high,dienmayxanh.com | memart.vn | nhathuoclongchau.com.vn | tiemchunglongchau.com.vn,"Đã loại số 100g, 667 kcal/bữa ăn, dầu ăn/hành phi và các dòng so sánh món khác. Dùng khẩu phần 1 gói/phần xôi xéo có topping phổ biến.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
com_chien_duong_chau,Cơm chiên dương châu,ok,per_serving,1 đĩa / 1 phần,missing,575,missing,400,800,medium,bibihealthybread.vn | pharmacity.vn,"Đã loại VietCalorie 165 kcal/đĩa, dữ liệu 100g và các dòng so sánh món khác. Dùng khẩu phần 1 đĩa/phần cơm chiên Dương Châu.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
cha_gio,Chả giò,ok,per_serving,1 cuốn / 1 cái,missing,110,missing,80,170,medium-high,bachhoaxanh.com | nhathuoclongchau.com.vn | vietlongfoods.com,"Đã loại dữ liệu 100g, chả giò chay, số của nước sốt/dầu và biến thể quá nhỏ. Dùng khẩu phần 1 cuốn/1 cái chả giò chiên phổ biến.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
ga_nuong,Gà nướng,ok,per_100g,100g thịt gà nướng,100,missing,205,197,240,medium,fptshop.com.vn | nhathuoclongchau.com.vn,"Đã chuẩn hóa về 100g thịt gà nướng, loại chân/cánh/đùi/nửa con/trứng gà nướng. Khi dự đoán từ ảnh cần ước lượng khối lượng để nhân lên.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
bun_cha_ha_noi,Bún chả Hà Nội,ok,per_serving,1 suất / 1 phần,missing,575,missing,500,721,medium-high,bibihealthybread.vn | memart.vn | trumfood.vn | wao.vn,"Đã loại suất lớn 800-1000 kcal, món khác và số thành phần. Dùng khẩu phần 1 suất bún chả Hà Nội phổ biến.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
lau_thai_hai_san,Lẩu thái hải sản,ok,per_serving,1 phần / 1 người,missing,300,missing,300,500,medium,titansport.com.vn | vi.phongnhaexplorer.com,"Đã chuẩn hóa về 1 phần/1 người, loại mì gói, gói gia vị và nồi lẩu nguyên. Dữ liệu món này vẫn confidence vừa vì nguồn trực tiếp ít.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
sinh_to_bo,Sinh tố bơ,ok,per_serving,1 ly,missing,300,missing,250,550,medium-high,btaskee.com | fiti.vn | fptshop.com.vn | nhathuoclongchau.com.vn | phuongnamhospital.com,"Đã cứu lại từ raw_calories vì Cell 13 lọc quá gắt. Dùng khẩu phần 1 ly sinh tố bơ phổ biến, có thể thay đổi mạnh theo lượng bơ, sữa đặc và đường.",CORE20_MASTER_CELL16,calories_v0_34_research_ram,2026-05-29 07:02:20
bun_moc,Bún mọc,ok,per_serving,1 tô,missing,515,missing,414,622,medium,memart.vn | nauchuananngon.vn | toyenxin.com,Đã bỏ trùng candidate theo URL/domain để tránh một nguồn lặp nhiều dòng kéo median. Dùng median theo nguồn cho khẩu phần 1 tô/bát bún mọc.,CELL 19,calories_v0_34_research_ram,2026-05-29 07:02:20
mi_tom_trung,Mì tôm trứng,ok,per_serving,1 tô / 1 gói kèm 1 trứng,missing,475,missing,370,544,medium-high,ai-hay.vn | bibihealthybread.vn | megagangnam.com | nauchuananngon.vn | vuaganuong.vn | xaydungso.vn,"Đã siết lại range, loại các dòng nghi là calo mì riêng. Giữ tổng 1 gói mì ăn liền kèm 1 quả trứng.",CELL 19,calories_v0_34_research_ram,2026-05-29 07:02:20
banh_mi_trung,Bánh mì trứng,ok,per_serving,1 ổ,missing,345,missing,330,450,medium-high,banhmimahai.vn | bibihealthybread.vn | fptshop.com.vn | nhathuoclongchau.com.vn | toshiko.vn,"Đã loại pate, 2 ổ/2 chiếc, bánh mì không và biến thể khác. Dùng khẩu phần 1 ổ bánh mì trứng phổ biến.",CELL 19,calories_v0_34_research_ram,2026-05-29 07:02:20
banh_gio,Bánh giò,ok,per_serving,1 cái,missing,425,missing,340,500,medium-high,bachhoaxanh.com | bibihealthybread.vn | drinkocany.com | gocgiamcan.edu.vn | toshiko.vn,"Đã loại bánh gio mật mía, chả giò/bánh dày và các dòng so sánh món khác. Dùng khẩu phần 1 cái bánh giò mặn phổ biến.",CELL 19,calories_v0_34_research_ram,2026-05-29 07:02:20
banh_day_gio,Bánh dày giò,ok,per_serving,1 cặp / 1 phần,missing,380,missing,340,500,medium-high,bibihealthybread.vn | nauchuananngon.vn | vi.phongnhaexplorer.com,"Đã chuẩn hóa về 1 cặp bánh dày giò, loại dòng 1 chiếc riêng và các dòng so sánh món khác.",CELL 21,calories_v0_34_research_ram,2026-05-29 07:02:20
trung_vit_lon,Trứng vịt lộn,ok,per_serving,1 quả,missing,185,missing,180,200,medium-high,medlatec.vn | nhathuocankhang.com | nhathuoclongchau.com.vn | vietnamnet.vn,Đã cứu lại từ raw_calories vì rule cũ reject nhầm cụm trứng vịt. Dùng khẩu phần 1 quả trứng vịt lộn luộc cơ bản.,CELL 21,calories_v0_34_research_ram,2026-05-29 07:02:20
banh_bao_nhan_thit,Bánh bao nhân thịt,ok,per_serving,1 cái,missing,375,missing,350,400,medium-high,nhathuoclongchau.com.vn | pharmacity.vn | wheystore.vn,"Giữ kết quả Cell 20. Nhiều nguồn trực tiếp nói loại bánh bao nhân thịt 2 trứng, nên xem đây là khẩu phần bánh bao nhân thịt phổ biến có trứng.",CELL 21,calories_v0_34_research_ram,2026-05-29 07:02:20
bun_mam,Bún mắm,ok,per_serving,1 tô,missing,480,missing,480,700,medium-high,bibihealthybread.vn | cocenviet.vn | drquangtrinh.vn | memart.vn | nhathuoclongchau.com.vn | vi.phongnhaexplorer.com | vuaganuong.vn,Giữ 480 kcal/tô cho khẩu phần cỡ vừa. Đã loại bún mắm nêm/bún đậu và siết max về 700 để tránh tô quá nhiều topping kéo range lên 800.,CELL 21,calories_v0_34_research_ram,2026-05-29 07:02:20
com_thit_kho_tau,Cơm thịt kho tàu,ok,per_serving,1 phần / 1 hộp,missing,555,missing,500,687,medium-high,comtamghien.com | memart.vn | vi.phongnhaexplorer.com,"Đã loại số của thịt kho riêng, toàn nồi, 5 quả trứng, bảng calo chung. Dùng khẩu phần cơm + thịt kho tàu đầy đủ.",CELL 24,calories_v0_34_research_ram,2026-05-29 07:02:20
pho_ga,Phở gà,ok,per_serving,1 tô / 1 bát,missing,425,missing,350,550,medium-high,bibihealthybread.vn | memart.vn | nauchuananngon.vn | saigonesebaguette.vn | tiemchunglongchau.com.vn | unityfitness.vn,"Đã loại số so sánh với phở bò/bún chả, 100g thịt gà và phở gà trộn. Dùng khẩu phần 1 tô/bát phở gà nước phổ biến.",CELL 24,calories_v0_34_research_ram,2026-05-29 07:02:20
mi_xao_thit_heo,Mì xào thịt heo,ok,per_serving,1 đĩa / 1 phần,missing,500,missing,350,700,medium,bibihealthybread.vn | memart.vn | nauchuananngon.vn,"Tìm lại bằng query rộng hơn và lọc context theo khẩu phần 1 đĩa/phần. Nguồn vẫn hạn chế, nên cần kiểm chứng thủ công nếu dùng làm mốc quan trọng.",CELL 24,calories_v0_34_research_ram,2026-05-29 07:02:20
pho_cuon,Phở cuốn,ok,per_serving,1 cuốn,missing,60,missing,40,80,medium-high,nauchuananngon.vn | nhathuoclongchau.com.vn | unityfitness.vn,"Đã chuẩn hóa về 1 cuốn, loại các dòng 1 phần/1 đĩa 3-4 cuốn và các số 100g thịt/bánh phở. Nếu muốn dùng theo 1 phần thì cần tạo cột serving riêng.",CELL 24,calories_v0_34_research_ram,2026-05-29 07:02:20
banh_bot_loc,Bánh bột lọc,ok,per_serving,1 cái,missing,45,missing,30,70,medium-high,bibihealthybread.vn | btaskee.com | nauchuananngon.vn | nhathuocankhang.com | vuaganuong.vn,"Đã chuẩn hóa về 1 cái bánh bột lọc hấp, loại các dòng 1 phần/1 đĩa/5 cái/10 cái và các range 420-480 kcal của nhiều cái.",CELL 26,calories_v0_34_research_ram,2026-05-29 07:02:20
nem_chua_ran,Nem chua rán,ok,per_serving,1 cái / 1 thanh,missing,70,missing,60,137,medium,nauchuananngon.vn | vuaganuong.vn,"Đã siết về 1 cái/1 thanh nem chua rán, loại các dòng 100g, 2-3 cái, 5 cái, nem chua chưa rán và số vận động/so sánh.",CELL 26,calories_v0_34_research_ram,2026-05-29 07:02:20
banh_chung,Bánh chưng,ok,per_serving,1 miếng (khoảng 200g),200,450,missing,380,520,low-medium,internal_estimate,"Bánh chưng nếp/thịt/đậu xanh, khẩu phần 1 miếng cắt từ bánh vuông tiêu chuẩn. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
banh_khot,Bánh khọt,ok,per_serving,5 cái / 1 phần,150,300,missing,250,400,low-medium,internal_estimate,"Bánh khọt tôm, khẩu phần 5 cái kèm rau sống, chưa tính nước chấm. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
banh_trang,Bánh tráng,ok,per_100g,100g bánh tráng khô,100,300,300,280,330,low-medium,internal_estimate,"Bánh tráng khô (chưa nhúng nước), tính theo 100g. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
banh_trang_tron,Bánh tráng trộn,ok,per_serving,1 phần / 1 bịch,150,350,missing,280,450,low-medium,internal_estimate,"Bánh tráng trộn đầy đủ topping (khô bò, trứng cút, đậu phộng, dầu điều). Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
bo_kho,Bò kho,ok,per_serving,1 tô / 1 phần,350,400,missing,350,500,low-medium,internal_estimate,"Bò kho ăn kèm bánh mì hoặc bún, chưa tính phần tinh bột đi kèm. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
bo_la_lot,Bò lá lốt,ok,per_serving,5 cuốn / 1 phần,150,260,missing,200,330,low-medium,internal_estimate,"Bò cuốn lá lốt nướng, khẩu phần 5 cuốn. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
bong_cai,Bông cải,ok,per_100g,100g bông cải luộc/xào,100,30,30,20,40,low-medium,internal_estimate,"Bông cải xanh/trắng, ít dầu mỡ. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
bun,Bún,ok,per_100g,100g bún tươi đã trụng,100,110,110,95,130,low-medium,internal_estimate,"Bún tươi làm từ gạo, đã luộc chín. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
bun_dau,Bún đậu mắm tôm,ok,per_serving,1 mâm / 1 phần,500,700,missing,600,900,low-medium,internal_estimate,"Mâm bún đậu đầy đủ: bún, đậu hũ chiên, chả cốm, thịt luộc, mắm tôm. Đây là ước tính nội bộ dựa trên số liệu dinh dưỡng phổ biến cho khẩu phần/100g tiêu chuẩn, chưa đối chiếu với nguồn trích dẫn cụ thể như các dòng v0_34 gốc.",ASSISTANT_ESTIMATE_2026_07_17,calories_v0_35_internal_estimate,2026-07-17 00:00:00
